Timestamp,Review,translated_review,lowercased,symbols_removed,contractions_replaced,punctuations_removed,numbers_removed,spelling_corrected,stopwords_removed,stemmed_words,lemmatized
2025/02/10 7:59:18 pm GMT+8,UNITEN is an interesting university because it's Tenaga university or the national energy university,UNITEN is an interesting university because it's Tenaga university or the national energy university,uniten is an interesting university because it's tenaga university or the national energy university,uniten is an interesting university because it's tenaga university or the national energy university,uniten is an interesting university because it is tenaga university or the national energy university,uniten is an interesting university because it is tenaga university or the national energy university,uniten is an interesting university because it is tenaga university or the national energy university,united is an interesting university because it is teenage university or the national energy university,united,unit,united
2025/02/10 7:59:26 pm GMT+8,Good enviroment and facilities,Good enviroment and facilities,good enviroment and facilities,good enviroment and facilities,good enviroment and facilities,good enviroment and facilities,good enviroment and facilities,good environment and facilities,good,good,good
2025/02/10 7:59:28 pm GMT+8,"For me, Uniten just a neutral for me because there is some positive and negative aspect for it. For example, positive side of it, is about supportive and easy going lecturer. Meanwhile negative side is about wifi connection is slow in certain areas.","For me, Uniten just a neutral for me because there is some positive and negative aspect for it. For example, positive side of it, is about supportive and easy going lecturer. Meanwhile negative side is about wifi connection is slow in certain areas.","for me, uniten just a neutral for me because there is some positive and negative aspect for it. for example, positive side of it, is about supportive and easy going lecturer. meanwhile negative side is about wifi connection is slow in certain areas.","for me, uniten just a neutral for me because there is some positive and negative aspect for it. for example, positive side of it, is about supportive and easy going lecturer. meanwhile negative side is about wifi connection is slow in certain areas.","for me, uniten just a neutral for me because there is some positive and negative aspect for it. for example, positive side of it, is about supportive and easy going lecturer. meanwhile negative side is about wifi connection is slow in certain areas.",for me uniten just a neutral for me because there is some positive and negative aspect for it for example positive side of it is about supportive and easy going lecturer meanwhile negative side is about wifi connection is slow in certain areas,for me uniten just a neutral for me because there is some positive and negative aspect for it for example positive side of it is about supportive and easy going lecturer meanwhile negative side is about wifi connection is slow in certain areas,for me united just a neutral for me because there is some positive and negative aspect for it for example positive side of it is about supportive and easy going lecturer meanwhile negative side is about wifi connection is slow in certain areas,united,unit,united
2025/02/10 7:59:37 pm GMT+8,Honestly uniten I feel like uniten is not the best neither the worst. I just feel like there are many more things to improve throughout the campus,Honestly uniten I feel like uniten is not the best neither the worst. I just feel like there are many more things to improve throughout the campus,honestly uniten i feel like uniten is not the best neither the worst. i just feel like there are many more things to improve throughout the campus,honestly uniten i feel like uniten is not the best neither the worst. i just feel like there are many more things to improve throughout the campus,honestly uniten i feel like uniten is not the best neither the worst. i just feel like there are many more things to improve throughout the campus,honestly uniten i feel like uniten is not the best neither the worst i just feel like there are many more things to improve throughout the campus,honestly uniten i feel like uniten is not the best neither the worst i just feel like there are many more things to improve throughout the campus,honestly united i feel like united is not the best neither the worst i just feel like there are many more things to improve throughout the campus,honestly,honestli,honestly
2025/02/10 8:00:24 pm GMT+8,"UNITEN is a solid choice for students interested in engineering, IT, or energy-related fields, offering strong industry connections and modern facilities. However, its specialized focus and location may not suit everyone. If youâre looking for a university with a strong technical emphasis and ties to the energy sector, UNITEN could be a great fit. If you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.","UNITEN is a solid choice for students interested in engineering, IT, or energy-related fields, offering strong industry connections and modern facilities. However, its specialized focus and location may not suit everyone. If youâre looking for a university with a strong technical emphasis and ties to the energy sector, UNITEN could be a great fit. If you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.","uniten is a solid choice for students interested in engineering, it, or energy-related fields, offering strong industry connections and modern facilities. however, its specialized focus and location may not suit everyone. if youâre looking for a university with a strong technical emphasis and ties to the energy sector, uniten could be a great fit. if you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.","uniten is a solid choice for students interested in engineering, it, or energy-related fields, offering strong industry connections and modern facilities. however, its specialized focus and location may not suit everyone. if youre looking for a university with a strong technical emphasis and ties to the energy sector, uniten could be a great fit. if you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.","uniten is a solid choice for students interested in engineering, it, or energy-related fields, offering strong industry connections and modern facilities. however, its specialized focus and location may not suit everyone. if youre looking for a university with a strong technical emphasis and ties to the energy sector, uniten could be a great fit. if you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.",uniten is a solid choice for students interested in engineering it or energyrelated fields offering strong industry connections and modern facilities however its specialized focus and location may not suit everyone if youre looking for a university with a strong technical emphasis and ties to the energy sector uniten could be a great fit if you prefer a more diverse academic environment or a bustling social scene you might want to explore other options,uniten is a solid choice for students interested in engineering it or energyrelated fields offering strong industry connections and modern facilities however its specialized focus and location may not suit everyone if youre looking for a university with a strong technical emphasis and ties to the energy sector uniten could be a great fit if you prefer a more diverse academic environment or a bustling social scene you might want to explore other options,united is a solid choice for students interested in engineering it or energyrelated fields offering strong industry connections and modern facilities however its specialized focus and location may not suit everyone if youre looking for a university with a strong technical emphasis and ties to the energy sector united could be a great fit if you prefer a more diverse academic environment or a bustling social scene you might want to explore other options,united,unit,united
2025/02/10 8:00:44 pm GMT+8,Bad in managemn,Bad in managemn,bad in managemn,bad in managemn,bad in managemn,bad in managemn,bad in managemn,bad in manager,bad,bad,bad
2025/02/10 8:00:47 pm GMT+8,I have faced a lot of problems while being in UNITEN such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,I have faced a lot of problems while being in UNITEN such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,i have faced a lot of problems while being in uniten such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,i have faced a lot of problems while being in uniten such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,i have faced a lot of problems while being in uniten such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,i have faced a lot of problems while being in uniten such as internet connectivity and facilities is not in a good condition air conditioning sometimes not working ,i have faced a lot of problems while being in uniten such as internet connectivity and facilities is not in a good condition air conditioning sometimes not working ,i have faced a lot of problems while being in united such as internet connectivity and facilities is not in a good condition air conditioning sometimes not working ,faced,face,face
2025/02/10 8:02:06 pm GMT+8,"Uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. The miscellaneous fee is still undefined. I think student should know what are they paying for.","Uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. The miscellaneous fee is still undefined. I think student should know what are they paying for.","uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. the miscellaneous fee is still undefined. i think student should know what are they paying for.","uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. the miscellaneous fee is still undefined. i think student should know what are they paying for.","uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. the miscellaneous fee is still undefined. i think student should know what are they paying for.",uniten has great facilities always give freedom for students to choose but some of the facilities upgrade is progressing very slow the miscellaneous fee is still undefined i think student should know what are they paying for,uniten has great facilities always give freedom for students to choose but some of the facilities upgrade is progressing very slow the miscellaneous fee is still undefined i think student should know what are they paying for,united has great facilities always give freedom for students to choose but some of the facilities upgrade is progressing very slow the miscellaneous fee is still undefined i think student should know what are they paying for,united,unit,united
2025/02/10 8:02:18 pm GMT+8,"Uniten is unnecessarily expensive for the service it's offering. It is practically 10 times the price of a normal public university with barely any additional service. Most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. The service quality also isn't much better than the local ones therefore making the price tags makes less sense. The management side also isn't a huge downside. Schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. Overall, 10/10, will never do this again.","Uniten is unnecessarily expensive for the service it's offering. It is practically 10 times the price of a normal public university with barely any additional service. Most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. The service quality also isn't much better than the local ones therefore making the price tags makes less sense. The management side also isn't a huge downside. Schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. Overall, 10/10, will never do this again.","uniten is unnecessarily expensive for the service it's offering. it is practically 10 times the price of a normal public university with barely any additional service. most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. the service quality also isn't much better than the local ones therefore making the price tags makes less sense. the management side also isn't a huge downside. schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. overall, 10/10, will never do this again.","uniten is unnecessarily expensive for the service it's offering. it is practically 10 times the price of a normal public university with barely any additional service. most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. the service quality also isn't much better than the local ones therefore making the price tags makes less sense. the management side also isn't a huge downside. schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. overall, 10/10, will never do this again.","uniten is unnecessarily expensive for the service it is offering. it is practically 10 times the price of a normal public university with barely any additional service. most service center is broken, some road light does not even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. the service quality also is not much better than the local ones therefore making the price tags makes less sense. the management side also is not a huge downside. schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. overall, 10/10, will never do this again.",uniten is unnecessarily expensive for the service it is offering it is practically 10 times the price of a normal public university with barely any additional service most service center is broken some road light does not even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year the service quality also is not much better than the local ones therefore making the price tags makes less sense the management side also is not a huge downside schedule are a mess events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution overall 1010 will never do this again,uniten is unnecessarily expensive for the service it is offering it is practically  times the price of a normal public university with barely any additional service most service center is broken some road light does not even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year the service quality also is not much better than the local ones therefore making the price tags makes less sense the management side also is not a huge downside schedule are a mess events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution overall  will never do this again,united is unnecessarily expensive for the service it is offering it is practically  times the price of a normal public university with barely any additional service most service center is broken some road light does not even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year the service quality also is not much better than the local ones therefore making the price tags makes less sense the management side also is not a huge downside schedule are a mess events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution overall  will never do this again,united,unit,united
2025/02/10 8:02:38 pm GMT+8,"FIrst of all, UNITEN Strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. The course selection is abundance and align with modern world. Then, their proximity to bunch of food is very convenient. That what I could deem positive part about it. For neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at BM, then we found poor class such as BV Theatre, then we have Library which is such a good benchmark for other theatre. The road is serviceable. Then for bad part is their management, slow, frustrating and could be very annoying. The event are subpar at best, the SRC is barely noticeable. In general, bunch of Uniten features, they are towards the right direction but lacking at execution. ","FIrst of all, UNITEN Strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. The course selection is abundance and align with modern world. Then, their proximity to bunch of food is very convenient. That what I could deem positive part about it. For neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at BM, then we found poor class such as BV Theatre, then we have Library which is such a good benchmark for other theatre. The road is serviceable. Then for bad part is their management, slow, frustrating and could be very annoying. The event are subpar at best, the SRC is barely noticeable. In general, bunch of Uniten features, they are towards the right direction but lacking at execution.","first of all, uniten strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. the course selection is abundance and align with modern world. then, their proximity to bunch of food is very convenient. that what i could deem positive part about it. for neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at bm, then we found poor class such as bv theatre, then we have library which is such a good benchmark for other theatre. the road is serviceable. then for bad part is their management, slow, frustrating and could be very annoying. the event are subpar at best, the src is barely noticeable. in general, bunch of uniten features, they are towards the right direction but lacking at execution.","first of all, uniten strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. the course selection is abundance and align with modern world. then, their proximity to bunch of food is very convenient. that what i could deem positive part about it. for neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at bm, then we found poor class such as bv theatre, then we have library which is such a good benchmark for other theatre. the road is serviceable. then for bad part is their management, slow, frustrating and could be very annoying. the event are subpar at best, the src is barely noticeable. in general, bunch of uniten features, they are towards the right direction but lacking at execution.","first of all, uniten strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. the course selection is abundance and align with modern world. then, their proximity to bunch of food is very convenient. that what i could deem positive part about it. for neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at bm, then we found poor class such as bv theatre, then we have library which is such a good benchmark for other theatre. the road is serviceable. then for bad part is their management, slow, frustrating and could be very annoying. the event are subpar at best, the src is barely noticeable. in general, bunch of uniten features, they are towards the right direction but lacking at execution.",first of all uniten strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share the course selection is abundance and align with modern world then their proximity to bunch of food is very convenient that what i could deem positive part about it for neutral part of it is their facilities there are some good like the classes especially the new renovated class at bm then we found poor class such as bv theatre then we have library which is such a good benchmark for other theatre the road is serviceable then for bad part is their management slow frustrating and could be very annoying the event are subpar at best the src is barely noticeable in general bunch of uniten features they are towards the right direction but lacking at execution,first of all uniten strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share the course selection is abundance and align with modern world then their proximity to bunch of food is very convenient that what i could deem positive part about it for neutral part of it is their facilities there are some good like the classes especially the new renovated class at bm then we found poor class such as bv theatre then we have library which is such a good benchmark for other theatre the road is serviceable then for bad part is their management slow frustrating and could be very annoying the event are subpar at best the src is barely noticeable in general bunch of uniten features they are towards the right direction but lacking at execution,first of all united strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share the course selection is abundance and align with modern world then their proximity to bunch of food is very convenient that what i could deem positive part about it for neutral part of it is their facilities there are some good like the classes especially the new renovated class at bm then we found poor class such as bv theatre then we have library which is such a good benchmark for other theatre the road is serviceable then for bad part is their management slow frustrating and could be very annoying the event are super at best the src is barely noticeable in general bunch of united features they are towards the right direction but lacking at execution,first,first,first
2025/02/10 8:02:44 pm GMT+8,"in my opinion UNITEN offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways UNITEN makes the student life a ""hassle"". First for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in UNITEN UCC. although there are many whom help with the issue. Many are created with neglect of the Ucc staff. ","in my opinion UNITEN offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways UNITEN makes the student life a ""hassle"". First for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in UNITEN UCC. although there are many whom help with the issue. Many are created with neglect of the Ucc staff.","in my opinion uniten offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways uniten makes the student life a ""hassle"". first for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in uniten ucc. although there are many whom help with the issue. many are created with neglect of the ucc staff.","in my opinion uniten offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways uniten makes the student life a ""hassle"". first for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in uniten ucc. although there are many whom help with the issue. many are created with neglect of the ucc staff.","in my opinion uniten offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways uniten makes the student life a ""hassle"". first for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in uniten ucc. although there are many whom help with the issue. many are created with neglect of the ucc staff.",in my opinion uniten offers great opportunities in terms of exploring ourselves in preparing our future but there are many ways uniten makes the student life a hassle first for the longest times the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues another is the issue with the admins in uniten ucc although there are many whom help with the issue many are created with neglect of the ucc staff,in my opinion uniten offers great opportunities in terms of exploring ourselves in preparing our future but there are many ways uniten makes the student life a hassle first for the longest times the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues another is the issue with the admins in uniten ucc although there are many whom help with the issue many are created with neglect of the ucc staff,in my opinion united offers great opportunities in terms of exploring ourselves in preparing our future but there are many ways united makes the student life a hassle first for the longest times the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues another is the issue with the admins in united ucc although there are many whom help with the issue many are created with neglect of the ucc staff,opinion,opinion,opinion
2025/02/10 8:03:01 pm GMT+8,"As a UNITEN student, Iâve had a great experience so far. Lecturers are knowledgeable and approachable, always willing to help when needed. The campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. The academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. There are also many clubs and activities to join, making campus life more enjoyable. Overall, UNITEN provides a balanced university experience with quality education and a supportive environment.","As a UNITEN student, Iâve had a great experience so far. Lecturers are knowledgeable and approachable, always willing to help when needed. The campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. The academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. There are also many clubs and activities to join, making campus life more enjoyable. Overall, UNITEN provides a balanced university experience with quality education and a supportive environment.","as a uniten student, iâve had a great experience so far. lecturers are knowledgeable and approachable, always willing to help when needed. the campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. the academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. there are also many clubs and activities to join, making campus life more enjoyable. overall, uniten provides a balanced university experience with quality education and a supportive environment.","as a uniten student, ive had a great experience so far. lecturers are knowledgeable and approachable, always willing to help when needed. the campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. the academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. there are also many clubs and activities to join, making campus life more enjoyable. overall, uniten provides a balanced university experience with quality education and a supportive environment.","as a uniten student, ive had a great experience so far. lecturers are knowledgeable and approachable, always willing to help when needed. the campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. the academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. there are also many clubs and activities to join, making campus life more enjoyable. overall, uniten provides a balanced university experience with quality education and a supportive environment.",as a uniten student ive had a great experience so far lecturers are knowledgeable and approachable always willing to help when needed the campus facilities are wellmaintained including the labs libraries and study areas which make learning more convenient the academic workload is challenging but manageable and the curriculum is industryrelevant preparing us well for future careers there are also many clubs and activities to join making campus life more enjoyable overall uniten provides a balanced university experience with quality education and a supportive environment,as a uniten student ive had a great experience so far lecturers are knowledgeable and approachable always willing to help when needed the campus facilities are wellmaintained including the labs libraries and study areas which make learning more convenient the academic workload is challenging but manageable and the curriculum is industryrelevant preparing us well for future careers there are also many clubs and activities to join making campus life more enjoyable overall uniten provides a balanced university experience with quality education and a supportive environment,as a united student ive had a great experience so far lecturers are knowledgeable and approachable always willing to help when needed the campus facilities are wellmaintained including the labs libraries and study areas which make learning more convenient the academic workload is challenging but manageable and the curriculum is industryrelevant preparing us well for future careers there are also many clubs and activities to join making campus life more enjoyable overall united provides a balanced university experience with quality education and a supportive environment,united,unit,united
